Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close
2/17/15,6.15,6.18,6.05,6.1
2/18/15,6.08,6.11,5.76,5.77
2/19/15,5.73,5.9,5.73,5.81
2/20/15,5.9,5.94,5.76,5.77
2/23/15,5.81,5.88,5.69,5.84
2/24/15,5.85,5.93,5.78,5.83
2/25/15,5.77,5.8,5.65,5.67
2/26/15,5.6,5.62,5.42,5.45
2/27/15,5.45,5.53,5.4,5.49
3/2/15,5.56,5.6,5.43,5.45
3/3/15,5.38,5.44,5.28,5.29
3/4/15,5.31,5.5,5.31,5.49
3/5/15,5.45,5.6,5.45,5.56
3/6/15,5.47,5.52,5.42,5.43
3/9/15,5.38,5.41,5.26,5.29
3/10/15,5.35,5.4,5.3,5.32
3/11/15,5.2,5.59,5.2,5.4
3/12/15,5.36,5.52,5.36,5.41
3/13/15,5.41,5.57,5.41,5.47
3/16/15,5.47,5.59,5.32,5.42
3/17/15,5.3,5.42,5.3,5.39
3/18/15,5.42,5.54,5.42,5.5
3/19/15,5.65,5.68,5.54,5.61
3/20/15,5.58,5.8,5.58,5.79
3/23/15,5.85,5.94,5.63,5.66
3/24/15,5.67,5.69,5.4,5.53
3/25/15,5.55,5.59,5.46,5.49
3/26/15,5.51,5.55,5.48,5.52
3/27/15,5.5,5.54,5.49,5.49
3/30/15,5.4,5.45,5.21,5.21
3/31/15,5.15,5.31,5.04,5.13
4/1/15,5.22,5.26,4.95,4.95
4/2/15,4.98,5.13,4.97,5.07
4/6/15,5.05,5.1,5.03,5.03
4/7/15,5.03,5.14,5.03,5.14
4/8/15,5.14,5.15,5.09,5.15
4/9/15,5.1,5.15,5.09,5.12
4/10/15,5.1,5.12,4.93,4.94
4/13/15,4.82,4.88,4.68,4.7
4/14/15,4.75,4.82,4.62,4.65
4/15/15,4.98,5.14,4.98,5.08
4/16/15,5.05,5.13,4.94,4.96
4/17/15,4.96,5.06,4.96,5.05
4/20/15,5.1,5.16,5.03,5.04
4/21/15,5.03,5.14,5.03,5.07
4/22/15,5.13,5.29,5.07,5.12
4/23/15,5.19,5.21,5.13,5.16
4/24/15,5.23,5.26,5.15,5.22
4/27/15,5.29,5.43,5.26,5.42
4/28/15,134.460007,134.539993,129.570007,130.559998
4/29/15,130.160004,131.589996,128.300003,128.639999
4/30/15,128.639999,128.639999,124.580002,125.150002
5/1/15,126.099998,130.130005,125.300003,128.949997
5/4/15,129.5,130.570007,128.259995,128.699997
5/5/15,128.149994,128.449997,125.779999,125.800003
5/6/15,126.559998,126.75,123.360001,125.010002
5/7/15,124.769997,126.080002,124.019997,125.260002
5/8/15,126.68,127.620003,126.110001,127.620003
5/11/15,127.389999,127.559998,125.629997,126.32
5/12/15,125.599998,126.879997,124.82,125.870003
5/13/15,126.150002,127.190002,125.870003,126.010002
5/14/15,127.410004,128.949997,127.160004,128.949997
5/15/15,129.070007,129.490005,128.210007,128.770004
5/18/15,128.380005,130.720001,128.360001,130.190002
5/19/15,130.690002,130.880005,129.639999,130.070007
5/20/15,130,130.979996,129.339996,130.059998
5/21/15,130.070007,131.630005,129.830002,131.389999
5/22/15,131.600006,132.970001,131.399994,132.539993
5/26/15,132.600006,132.910004,129.119995,129.619995
5/27/15,130.339996,132.259995,130.050003,132.039993
5/28/15,131.860001,131.949997,131.100006,131.779999
5/29/15,131.229996,131.449997,129.899994,130.279999
6/1/15,130.279999,131.389999,130.050003,130.539993
6/2/15,129.860001,130.660004,129.320007,129.960007
6/3/15,130.660004,130.940002,129.899994,130.119995
6/4/15,129.580002,130.580002,128.910004,129.360001
6/5/15,129.5,129.690002,128.360001,128.649994
6/8/15,128.899994,129.210007,126.830002,127.800003
6/9/15,126.699997,128.080002,125.620003,127.419998
6/10/15,127.919998,129.339996,127.849998,128.880005
6/11/15,129.179993,130.179993,128.479996,128.589996
6/12/15,128.190002,128.330002,127.110001,127.169998
6/15/15,126.099998,127.239998,125.709999,126.919998
6/16/15,127.029999,127.849998,126.370003,127.599998
6/17/15,127.720001,127.879997,126.739998,127.300003
6/18/15,127.230003,128.309998,127.220001,127.879997
6/19/15,127.709999,127.82,126.400002,126.599998
6/22/15,127.489998,128.059998,127.080002,127.610001
6/23/15,127.480003,127.610001,126.879997,127.029999
6/24/15,127.209999,129.800003,127.120003,128.110001
6/25/15,128.860001,129.199997,127.5,127.5
6/26/15,127.669998,127.989998,126.510002,126.75
6/29/15,125.459999,126.470001,124.480003,124.529999
6/30/15,125.57,126.120003,124.860001,125.43
7/1/15,126.900002,126.940002,125.989998,126.599998
7/2/15,126.43,126.690002,125.769997,126.440002
7/6/15,124.940002,126.230003,124.849998,126
7/7/15,125.889999,126.150002,123.769997,125.690002
7/8/15,124.480003,124.639999,122.540001,122.57
7/9/15,123.849998,124.059998,119.220001,120.07
7/10/15,121.940002,123.849998,121.209999,123.279999
7/13/15,125.029999,125.760002,124.32,125.660004
7/14/15,126.040001,126.370003,125.040001,125.610001
7/15/15,125.720001,127.150002,125.580002,126.82
7/16/15,127.739998,128.570007,127.349998,128.509995
7/17/15,129.080002,129.619995,128.309998,129.619995
7/20/15,130.970001,132.970001,130.699997,132.070007
7/21/15,132.850006,132.919998,130.320007,130.75
7/22/15,121.989998,125.5,121.989998,125.220001
7/23/15,126.199997,127.089996,125.059998,125.160004
7/24/15,125.32,125.739998,123.900002,124.5
7/27/15,123.089996,123.610001,122.120003,122.769997
7/28/15,123.379997,123.910004,122.550003,123.379997
7/29/15,123.150002,123.5,122.269997,122.989998
7/30/15,122.32,122.57,121.709999,122.370003
7/31/15,122.599998,122.639999,120.910004,121.300003
8/3/15,121.5,122.57,117.519997,118.440002
8/4/15,117.419998,117.699997,113.25,114.639999
8/5/15,112.949997,117.440002,112.099998,115.400002
8/6/15,115.970001,116.5,114.120003,115.129997
8/7/15,114.580002,116.25,114.5,115.519997
8/10/15,116.529999,119.989998,116.529999,119.720001
8/11/15,117.809998,118.18,113.330002,113.489998
8/12/15,112.529999,115.419998,109.629997,115.239998
8/13/15,116.040001,116.400002,114.540001,115.150002
8/14/15,114.32,116.309998,114.010002,115.959999
8/17/15,116.040001,117.650002,115.5,117.160004
8/18/15,116.43,117.440002,116.010002,116.5
8/19/15,116.099998,116.519997,114.68,115.010002
8/20/15,114.080002,114.349998,111.629997,112.650002
8/21/15,110.43,111.900002,105.650002,105.760002
8/24/15,94.870003,108.800003,92,103.120003
8/25/15,111.110001,111.110001,103.5,103.739998
8/26/15,107.089996,109.889999,105.050003,109.690002
8/27/15,112.230003,113.239998,110.019997,112.919998
8/28/15,112.169998,113.309998,111.540001,113.290001
8/31/15,112.029999,114.529999,112,112.760002
9/1/15,110.150002,111.879997,107.360001,107.720001
9/2/15,110.230003,112.339996,109.129997,112.339996
9/3/15,112.489998,112.779999,110.040001,110.370003
9/4/15,108.970001,110.449997,108.510002,109.269997
9/8/15,111.75,112.559998,110.32,112.309998
9/9/15,113.760002,114.019997,109.769997,110.150002
9/10/15,110.269997,113.279999,109.900002,112.57
9/11/15,111.790001,114.209999,111.760002,114.209999
9/14/15,116.580002,116.889999,114.860001,115.309998
9/15/15,115.93,116.529999,114.419998,116.279999
9/16/15,116.25,116.540001,115.440002,116.410004
9/17/15,115.660004,116.489998,113.720001,113.919998
9/18/15,112.209999,114.300003,111.870003,113.449997
9/21/15,113.669998,115.370003,113.660004,115.209999
9/22/15,113.379997,114.18,112.519997,113.400002
9/23/15,113.629997,114.720001,113.300003,114.32
9/24/15,113.25,115.5,112.370003,115
9/25/15,116.440002,116.690002,114.019997,114.709999
9/28/15,113.849998,114.57,112.440002,112.440002
9/29/15,112.830002,113.510002,107.860001,109.059998
9/30/15,110.169998,111.540001,108.730003,110.300003
10/1/15,109.07,109.620003,107.309998,109.580002
10/2/15,108.010002,111.010002,107.550003,110.379997
10/5/15,109.879997,111.370003,109.07,110.779999
10/6/15,110.629997,111.739998,109.769997,111.309998
10/7/15,111.739998,111.769997,109.410004,110.779999
10/8/15,110.190002,110.190002,108.209999,109.5
10/9/15,110,112.279999,109.489998,112.120003
