Date,Open,High,Low,Last,VOL,SMA-20,SMA,BB-Upper,BB-Lower,EMA,,,,Variable Name,Value
1/3/00,6.15,6.18,6.05,6.1,,,#REF!,#REF!,#REF!,6.1,,,,PERIOD,14
1/4/00,6.08,6.11,5.76,5.77,,,#REF!,#REF!,#REF!,6.056,,,,Std devs,2
1/5/00,5.73,5.9,5.73,5.81,,,#REF!,#REF!,#REF!,6.0232,,,,,
1/6/00,5.9,5.94,5.76,5.77,,,#REF!,#REF!,#REF!,5.98944,,,,,
1/7/00,5.81,5.88,5.69,5.84,,,#REF!,#REF!,#REF!,5.969514667,,,,,
1/10/00,5.85,5.93,5.78,5.83,,,#REF!,#REF!,#REF!,5.950912711,,,,,
1/11/00,5.77,5.8,5.65,5.67,,,#REF!,#REF!,#REF!,5.913457683,,,,,
1/12/00,5.6,5.62,5.42,5.45,,,#REF!,#REF!,#REF!,5.851663325,,,,,
1/13/00,5.45,5.53,5.4,5.49,,,#REF!,#REF!,#REF!,5.803441549,,,,,
1/14/00,5.56,5.6,5.43,5.45,,,#REF!,#REF!,#REF!,5.756316009,,,,,
1/18/00,5.38,5.44,5.28,5.29,,,#REF!,#REF!,#REF!,5.694140541,,,,,
1/19/00,5.31,5.5,5.31,5.49,,,#REF!,#REF!,#REF!,5.666921802,,,,,
1/20/00,5.45,5.6,5.45,5.56,,,5.193571429,5.64937728,4.737765577,5.652665562,,,,,
1/21/00,5.47,5.52,5.42,5.43,,,5.580714286,6.028303678,5.133124894,5.62297682,,,,,
1/24/00,5.38,5.41,5.26,5.29,,,5.524285714,5.912236091,5.136335338,5.578579911,,,,,
1/25/00,5.35,5.4,5.3,5.32,,,5.491428571,5.871214515,5.111642628,5.544102589,,,,,
1/26/00,5.2,5.59,5.2,5.4,,,5.453571429,5.83656427,5.070578587,5.524888911,,,,,
1/27/00,5.36,5.52,5.36,5.41,,,5.425,5.767007647,5.082992353,5.509570389,,,,,
1/28/00,5.41,5.57,5.41,5.47,,,5.405,5.711117122,5.098882878,5.504294337,,,,,
1/31/00,5.47,5.59,5.32,5.42,,5.563,5.372142857,5.591256958,5.153028757,5.493055092,,,,,
2/1/00,5.3,5.42,5.3,5.39,,5.5275,5.347142857,5.499342841,5.194942873,5.479314413,,,,,
2/2/00,5.42,5.54,5.42,5.5,,5.514,5.347142857,5.499342841,5.194942873,5.482072492,,,,,
2/3/00,5.65,5.68,5.54,5.61,,5.504,5.357142857,5.539676912,5.174608802,5.499129493,,,,,
2/4/00,5.58,5.8,5.58,5.79,,5.505,5.367857143,5.58343202,5.152282266,5.537912227,,,,,
2/7/00,5.85,5.94,5.63,5.66,,5.496,5.392857143,5.642956024,5.142758261,5.554190597,,,,,
2/8/00,5.67,5.69,5.4,5.53,,5.481,5.399285714,5.644794829,5.1537766,5.550965184,,,,,
2/9/00,5.55,5.59,5.46,5.49,,5.472,5.4,5.646201918,5.153798082,5.542836493,,,,,
2/10/00,5.51,5.55,5.48,5.52,,5.4755,5.404285714,5.654050439,5.15452099,5.539791627,,,,,
2/11/00,5.5,5.54,5.49,5.49,,5.4755,5.420714286,5.659617457,5.181811114,5.533152743,,,,,
2/14/00,5.4,5.45,5.21,5.21,,5.4635,5.414285714,5.671335759,5.15723567,5.490065711,,,,,
2/15/00,5.15,5.31,5.04,5.13,,5.4555,5.402857143,5.710246004,5.095468281,5.44205695,,,,,
